context,target,split
deeply felt the,henry,train
henry felt the misfortune,deeply,train
henry deeply the misfortune of,felt,train
henry deeply felt misfortune of being,the,train
deeply felt the of being debarred,misfortune,train
felt the misfortune being debarred from,of,train
the misfortune of debarred from a,being,train
misfortune of being from a liberal,debarred,train
of being debarred a liberal education,from,train
being debarred from liberal education .,a,train
debarred from a education . ,liberal,train
from a liberal . ,education,train
a liberal education ,.,train
liberal education .,,train
"said little ,",he,train
"he little , but",said,train
"he said , but when",little,train
he said little but when he,",",train
"said little , when he spoke",but,train
"little , but he spoke i",when,train
", but when spoke i read",he,train
but when he i read in,spoke,train
when he spoke read in his,i,train
he spoke i in his kindling,read,train
spoke i read his kindling eye,in,train
i read in kindling eye and,his,train
read in his eye and in,kindling,train
in his kindling and in his,eye,train
his kindling eye in his animated,and,train
kindling eye and his animated glance,in,train
eye and in animated glance a,his,train
and in his glance a restrained,animated,train
in his animated a restrained but,glance,train
his animated glance restrained but firm,a,train
animated glance a but firm resolve,restrained,train
glance a restrained firm resolve not,but,train
a restrained but resolve not to,firm,train
restrained but firm not to be,resolve,train
but firm resolve to be chained,not,train
firm resolve not be chained to,to,train
resolve not to chained to the,be,train
not to be to the miserable,chained,train
to be chained the miserable details,to,train
be chained to miserable details of,the,train
chained to the details of commerce,miserable,train
to the miserable of commerce .,details,train
the miserable details commerce . ,of,train
miserable details of . ,commerce,train
details of commerce ,.,train
of commerce .,,train
sat late .,we,train
we late . ,sat,train
we sat . ,late,train
we sat late ,.,train
sat late .,,train
could not tear,we,train
we not tear ourselves,could,train
we could tear ourselves away,not,train
we could not ourselves away from,tear,train
could not tear away from each,ourselves,train
not tear ourselves from each other,away,train
tear ourselves away each other nor,from,train
ourselves away from other nor persuade,each,train
away from each nor persuade ourselves,other,train
from each other persuade ourselves to,nor,train
each other nor ourselves to say,persuade,train
other nor persuade to say the,ourselves,train
nor persuade ourselves say the word,to,train
persuade ourselves to the word farewell,say,train
ourselves to say word farewell !,the,train
to say the farewell ! ,word,train
say the word ! ,farewell,train
the word farewell ,!,train
word farewell !,,train
"was said ,",it,train
"it said , and",was,train
"it was , and we",said,train
it was said and we retired,",",train
"was said , we retired under",and,train
"said , and retired under the",we,train
", and we under the pretence",retired,train
and we retired the pretence of,under,train
we retired under pretence of seeking,the,train
retired under the of seeking repose,pretence,train
"under the pretence seeking repose ,",of,train
"the pretence of repose , each",seeking,train
"pretence of seeking , each fancying",repose,train
of seeking repose each fancying that,",",train
"seeking repose , fancying that the",each,train
"repose , each that the other",fancying,train
", each fancying the other was",that,train
each fancying that other was deceived,the,train
fancying that the was deceived but,other,train
that the other deceived but when,was,train
the other was but when at,deceived,train
other was deceived when at morning,but,train
was deceived but at morning s,when,train
deceived but when morning s dawn,at,train
but when at s dawn i,morning,train
when at morning dawn i descended,s,train
at morning s i descended to,dawn,train
morning s dawn descended to the,i,train
s dawn i to the carriage,descended,train
dawn i descended the carriage which,to,train
i descended to carriage which was,the,train
descended to the which was to,carriage,train
to the carriage was to convey,which,train
the carriage which to convey me,was,train
carriage which was convey me away,to,train
"which was to me away ,",convey,train
"was to convey away , they",me,train
"to convey me , they were",away,train
convey me away they were all,",",train
"me away , were all there",they,train
"away , they all there my",were,train
", they were there my father",all,train
they were all my father again,there,train
were all there father again to,my,train
all there my again to bless,father,train
there my father to bless me,again,train
"my father again bless me ,",to,train
"father again to me , clerval",bless,train
"again to bless , clerval to",me,train
to bless me clerval to press,",",train
"bless me , to press my",clerval,train
"me , clerval press my hand",to,train
", clerval to my hand once",press,train
clerval to press hand once more,my,train
"to press my once more ,",hand,train
"press my hand more , my",once,train
"my hand once , my elizabeth",more,train
hand once more my elizabeth to,",",train
"once more , elizabeth to renew",my,train
"more , my to renew her",elizabeth,train
", my elizabeth renew her entreaties",to,train
my elizabeth to her entreaties that,renew,train
elizabeth to renew entreaties that i,her,train
to renew her that i would,entreaties,train
renew her entreaties i would write,that,train
her entreaties that would write often,i,train
entreaties that i write often and,would,train
that i would often and to,write,train
i would write and to bestow,often,train
would write often to bestow the,and,train
write often and bestow the last,to,train
often and to the last feminine,bestow,train
and to bestow last feminine attentions,the,train
to bestow the feminine attentions on,last,train
